text,class
"Пятерочка выручает!)возле дома,всё необходимое на раз,неплохой выбор сыров.зайти вечером,и быстро закупиться-можно вполне.ценник «пятёрочный»",1
Кассиры👎👎👎,0
Кассирша очень добрый хороший 👍 скидку акции мне понравилась,1
Все супер!,1
"Хороший магазин, очень преобразить.",1
"Нормальный магзин, как и большинство пятерочек, но 5 баллов н заслуживает, цены выше чем в Окее или Ленте, а качество продуктов хуже.",1
"Отличный магазин, чистота и порядок. Свежая вкусная выпечка.",1
"Чисто, большой выбор. Хорошие скидки на красное сухое 😊",1
"Нормальная пятерка. Акции часто меняются, поэтому ценники не сходятся, но это мелочи.",1
"Хорошая пятерка - пространство большое, ассортимент отличный, скидки и акции",1
Хороший магазин ,1
Рядом с домом удобно все есть быстрое обслуживание,1
"Нравится магазин, но почему то в нем всегда огромные очереди и достаточно скучный ассортимент",1
Персонал грубый,0
"Магазин нормальный. Во всяком случае, я изъянов не заметила. Хожу туда не часто, но замечаний нет. Всё хорошо.  Удобно расположен и народа не много.",1
"имба, но нет бесплатных сырков",1
"После ремонта чистая много товаров, парковка небольшая",1
Нормально👍,1
"Обманывают на кассе, товар по акциям пробивают по полной стоимости без скидок.",0
"Качественное обслуживание и большой выбор  товаров , Рекомендую",1
"Одна касса с огромной очередью, нет корзинок, только тележки в которые их вставлять и это в субботу в середине дня. ",0
"У дома. Чисто, хороший персонал. Продукты, ни разу не видел просрочки!",1
"Сам магазин неплох,но дикие очереди и постоянно нерабочие кассы,брр,как это выводит из себя.",0
Очень маленькая. Неудобные кассы. ,1
"Персонал очень вежливый. Выбора очень мало, продукты вовремя не привозят. Магазин чистый.",0
Очень  хорошее  отношение  к людям. И четкое  обслуживание  кассира,1
Часто работает одна касса,1
"Приветливый персонал, чистое помещение. Хороший выбор товаров.",1
"Лучший магазин в городе с добрым обслуживанием и с новыми видоми оплаты, есть буфет с вкусными булочькоми, никогда не было просрочки!",1
"Хорошее местораспожение.

Тесно, но выбор неплохой!",1
Хороший магазин. И персонал.. Вежливый и отзывчивый.,1
"Магазин нравится, захожу часто. Никаких претензий нет. Вежливые, спокойные кассиры.",1
"Чистый магазин,продукты свежие.
Персонал отзывчивый и внимательный.Благодарю сотрудников и заведующего магазином.",1
"Обычный среднестатистический магазин. Раньше часто ходила сюда за свежим хлебом. Теперь все испортилось, хлеб лежит засохший, ассортимент уменьшился. ",1
Магазин профессионалов. Администрация — молодцы,1
"Большая, но уютная Пятерочка! Персонал приветливый, помогающий, расположение товара удобное, овощи-фрукты сортируются. На кассах, как и везде, бывают очереди.",1
Хорошая пятёрочка. Приветливый персонал. Скидки всегда есть) Расположение для моей семьи очень удобное тк мы живем в этом доме ),1
Очень хороший магазин,1
"народу немного, так как проходимость небольшая. Бывают интересные скидки на непродовольственные товары. (детское платьице за 99 рублей)",1
"Спасибо. Магазин в доступном месте, товар часто обновляется, быстрые кассиры",1
Нудный товар искала минут 15 продавцов нет,0
"Кассиры не умеют говорить покупателям « Здравствуйте « не очень хочется туда ходить, смотрят на тебя. Алгоритм кассира они не знают.",0
"Всегда свежий ассортимент. Магазин чистый, ухоженный. Вежливые продавцы. Лучший магазин в нашем районе! Спасибо руководству. Так держать👍",1
"Классный магаз Пятерочка ,как всегда акции и соответственно хорошие скидки,мне нравится этот магазин",1
"Лучшая пятёрочка. Просторно, много касс, чисто.",1
Почему картошку зеленую продаете и не даете людям украсть шаверму с йогуртом чудо бренд номер 1 ,0
"Хороший магазин, огромный ассортимент по достаточно приемлемой цене
Есть кассы самообслуживания где оплата только по безналу",1
"Чисто, приятный персонал.
Хороший ассортимент.",1
Пустые полки.,0
Хороший магазин!Дружелюбные продавцы!,1
"Нравятся скидки ,хорошие акции,вежливые продавцы,удобное расположение к дому ,свежие продукты )!",1
"Удобный и просторный магазин, ценники всегда в порядке.",1
"Приятно зайти, обновлённый вариант  пятёрочка. Чисто , традиционно приличный выбор. Вежливый персонал.",1
"Прекрасно
",1
Удобный вход для покупателей с колясками,1
"Мини маркет. Чисто, приветливый персонал. Приятно зайти",1
Удобная парковка,1
Хороший магазин в шаговой доступности.,1
Хорошие скидки . Часто акции. Приятный персонал😉👍,1
Обычная пятёрка.  Маленькие залы и запутанные.  Чтоб найти хлеб надо постараться.,0
"Товары:Свежие,сочные,вкусные
Кассы:удобные
Продавцы:Добрые,уважительные
Атмосфера:уютная,красивая,в которой приятно что то покупать
Вывод:Всё идеально",1
Всё хорошо 👍,1
"Спасибо дирекции магазина:магазин меняется на глазах. Полки ломятся от товара, на фрукты и овощи смотреть приятно. Двигайтесь в том же направлении, вы-лучшие!! ;",1
Обычный ни чем не выделяющийся магазин,1
Медленные кассиры,0
"Совсем скатился магазин. Регулярно выкладывается (или вовремя не убирается) просрочка, тесно, неудобно, невежливые кассиры . Из-за описанного перестал сюда ходить совсем",0
постоянно нет липтона и работать начинает слишком поздно🙄🙄,0
"Здравствуйте.
Купили сегодня мороженое оно наверно было переморожено несколько раз с него свисал лёд и мороженое как будто было посыпано сахаром.",0
Обычно пятёрка. Персонал адекватный.,1
"Овощи почти всегда плохие, сотрудников слишком много.",0
Удобно место,1
Лучшие цены и качество на районе,1
"Чисто, стараются разгрузить кассы при большом потоке покупателей.",1
"Чистенький магазинчик , вежливые продавцы",1
"Магазин по соседству, мне все нравится.",1
хороший магазин возле дома очень удобно . все необходимое есть,1
После ремонта - просто бутик))) Но ценники всё-равно нужно проверять на соответствие выставленному товару.,1
"Жаль,что не полностью представлен ассортимент,как в городских магазинах этой же сети",1
Хороший коллектив продавцов. Отличный магазик! ,1
"Отличный магазин, большой ассортимент продуктов и товаров для дома. Полный порядок с ценниками, присутствуют у каждого товара. Чистота в зале. Вежливые продавцы.",1
"Всегда совершаю покупки тут. Всегда всë в наличии, за сроками следят. Персонал хороший.",1
Лучший магазин,1
"Без очередей почти всегда
",1
Прекрасная обстановка и сотрудники.,1
"В этой Пятерочке просторный торговый зал, можно свободно разойтись с другими покупателями. Есть парковка.",1
Хорошая пятерочка большая много товара и вежливый персонал,1
Хороший магазин. Выбор для продуктов достаточный. Но вопрос к закупщикам. Почему прекратили продавать безглютеновый хлеб. Брал постоянно. 5-6 буханок/неделю.,1
"Несколько запутанный магазин,   не сразу можно найти нужный товар",1
"Ужас! Продают давно просроченный товар, надо делать с этим что-то!",0
Почему в этом магазине обслуживает один кассир? Постоянные очереди. Около года не работает автоматическая входная дверь в магазин.,0
"Хотя и магазин недалеко от дома, но бываю в нем редко. Раньше бывала чаще, но несколько раз столкнулась с заплесневелыми овощами, что испортило впечатление о магазине",1
Очень круто )) мне понравилось,1
"Бываю не очень часто, но вполне довольна. Зал просторный, выбор хороший, товары в доступе. Чисто-всегда! Кроме касс, есть зона самообслуживания. Мне нравится",1
Очень мало места для посетителей,1
Очень хорошо спасибо за хорошие обслуживание ,1
"Лучшая пятёрочка в городе. Удобно, быстро и чисто",1
В принципе обычная пятерочка с обычным ассортиментом. Достаточно вежливый персонал . 5 баллов за аппарат самообслуживания !,1
"Обычный магазин, ничего особенного. Захожу сюда, потому что рядом аптека и расположен удобно в торговом центре.",1
Вежливый и отзывчивый персонал. Большой выбор продукции. Следят за сроками годности. Один из лучших магазинов города,1
"Хорошо, кассы быстро работают, чистенько, только товар выложен вразнобой.",1
"Хороший магазин, рядом с домом.",1
отличное место жили в отеле рядом было удобно ...вежливые продавцы ..ассортимент большой ..успехов,1
Все хорошо,1
"Нормальный магазин, нравиться порядок, всегда всё хорошо разложено на полках, просрочка не попадалась, овощи хорошие, фрукты на 4-, очередей нет, персонал нормальный",1
"магазин с нормальными ценами, но иногда фрукты и овощи ну совсем не очень. Залежавшиеся...",1
Чего-то ей поплохело в последнее время.. закроют(,0
"Хорошо, близко к дому, чистенько ",1
"Есть все необходимое для повседневной жизни, находится в шаговой доступности от дома",1
"Добавил одну звезду, потому что недавно поставили кассы самообслуживания. Это реально удобно. По ассортименту - не самая лучшая Пятерочка, но для центра сойдёт.",1
"Беру там потрясающий кефир.
Очень удобно, что на кассе самообслуживания можно оплатить через систему быстрых платежей.",1
"Грязновато, но коллектив хороший",0
Обычная Пятëрочка   одна из многих  .,1
Хороший алкомаркет с приличным выбором вина и крепкого алкоголя,1
"Неплохой магазин, бываю редко но проблем ни с товаром ни с персоналом не было. Недавно поставили кассы самообслуживания  очень удобно.",1
"с 25 июня опять пытались отказать в обслуживании . Администратор , жалобная книга , звонки на линию .",0
"Тут все плохо, всем наплевать на все",0
"Очень хороший магазин, приветливый персонал, свежие продукты, рядом с дорогой
",1
"Это стандартная пятёрочка с хорошим ремонтом, ассортимент и тд у них одинаковый, просрочка не попадалась",1
Хороший магазин в шаговой доступности. Хорошая выпечка.,1
"Хороший, чистый магазин, но сотрудникам нужно научиться разговаривать в нормальном тоне с покупателями ",1
"Я в нем не была ,такие маленькие магазинчики не очень предпочитаю только если воды купить ,ну или шоколад)",1
"Любимый магазин у дома, хороший персонал, в магазине чисто, продукты хорошие.",1
"Отличный магазин,хороший выбор товаров.",1
"Супермаркет находится рядом с моей работой и поэтому захожу туда часто, скидки часто бывают на разные товары.",1
"Можно оплатить без кассира. Это пять.

",1
"Хороший магазин, удобный график работы.
Удобно что есть пункт выдачи посылок",1
"Приятно ходить в этот магазин, хотелось бы  фрукты (виноград) посвежее иногда, молочный и мясные полуфабрикаты очень хороший ассортимент",1
"Нормальный выбор продуктов.
Ближайший супермаркет к проходной ПетроЛесПорта.",1
Магазин у дома. Нет многих товаров как в других Пятёрочка.,0
"Не очень большой ассортимент,но все чистенько,корректно и приветливо.",1
Обычный магаз каких сотни,0
Пятёрка как пятёрка.персонал узбеки всё как всегда;),1
На Пискаревке лучше!,1
"Типовая Пятёрочка, после последнего ремонта стало комфортнее. В продаже появился хлеб собственной выпечки. Есть аптека .",1
Прекрасный персонал. Всегда вежливое общение,1
"Обфычная петерочка.далековато если на машине.парковка всегда занята ,но можно заехать со двора.",1
Все хорошо ,1
"Сейчас лучше. Директор поменялся. Для магазина около дома норм.
",0
Нормальный магазин!часто там бываю... всё хорошо!,1
"Супер
",1
"Ну тут и толпа иной раз! Продукты не всегда свежие, а в целом обычная пятёрочка, что тут говорить))",0
"Удобное расположение, хороший приятный магазин, персонал всегда приветливый и опрятный",1
"Большая, чистая.почти всегда всё есть. Очереди бывают как и везде, но я через самообслуживание иду, а их там много",1
"Чистенький магазин с приятным персоналом ,и свежайшей выпечкой.",1
Мало ассортимента,0
"нравится магазин, потому что покупаю иногда шоколадки",1
Хороший магазин. Много выбора.,1
Неплохой магазин в шаговой доступности. Продукты питания и хоз товары по доступным ценам и неплохого качества,1
"Любимая Пятёрочка , спасибо сотрудникам за качественную работу.",1
"Нравится эта Пятерочка, большая, есть все что нужно.  Чисто, хороший ремонт",1
"Отвратительный, бесячий персонал.
Разговаривают на матах сотрудники, не стесняясь покупателей, обсуждают на весь зал свою личную жизнь.",0
"Хорошо разговаривают с покупателями, очень доволен магазином👏",1
Пятерочка всегда распологает хорошим ассортиментом и приемлемыми ценами,1
Приятное,1
"Захожу перед работой за чаем и печеньем ,пользуюсь кассой самообслуживания. Больше ничего сказать не могу,",1
"Хороший магазин. Удобно, что рядом с домом.",1
"Нравится мне этот магазин, однако здесь нет презервативов Vizit и поэтому 4",1
"Ну цены на ценниках не всегда верные, но в общем норм место",1
"отличный магазин, хороший ассортимент.очень нравится, что нет очередей.",1
"""+""-рядом. ""-""- из-за небольшого размера торговых площадей магазина ассортимент ограничен. Акционная политика""5""-ки здесь редко, почему- то, работает.",0
"Все на месте, чисто, свяжо. Не сильно заданные цены. Вежливый персонал, удобное расположение. Что ещё нужно от магазина.",1
"Просторно,чисто,хороший выбор
На большие очереди не попадала
Прямо в доме,удобно",1
"Обычная пятёрочка, просрочки не замечал,очередей больших не бывает ,оперативно работают.
Водочка,коньячок,шампанское ,винцо всегда в наличии!!!!",1
Здесь всегда свежие продукты И всегда все касса работает а другом магазина всего два касса работает и народ полно И Продавцы такие добрые,1
"Выбор товаров хороший. Продавцы на 4 с ""-"", но я редко с ними общаюсь, так как пользуюсь кассой самообслуживания. В магазине всегда чисто.",1
Хороший магазин рядом с домом.,1
Веюсе отлично,1
Бывает захожу.норм магаз,1
"Хороший магазин, есть выпечка и КСО.",1
"Хороший, чистый магазин. Часто заезжаю по дороге с дачи или на дачу. Понравилось обслуживание кассиров, очень отзывчивые и внимательны к нам - занудам покупателям.",1
"Работаю в этом районе, можно найти все  необходимые продукты",1
Приличный магазинчик,1
"Стандартная пятёрочка, в магазине за чистотой следят, полки пополняют вовремя.",1
не самая большая 5 в районе,1
"Неплохо. Не супермаркет, но основные продукты купить можно. Цены средние.",1
"Часто натыкаюсь на некорректные ценники, которые могут забыть поменять, например, после окончания акции.",1
Есть к чему стремиться.,0
"Рядом с домом. Чистый,аккуратный. Персонал вежливый. Выпечка свежая. Очень уютно",1
"Очень понравился магазин , купила очень вкусный виноград , прям давно такой искала. ",1
Пятёрка как пятёрка.,1
Очень удобный и хороший магазин. Не хватает только доставки до ближайших поселков.,1
"Хорошо сделали,все удобно расположено по размещению товаров+хорошо работают кассы практически не бывает очередей,пока нравится,так держать!😋",0
"Персонал, чистота",1
"Вежливый персонал, спасибо",1
Сюда приходят мои посылки от iHerb.  Мне удобно.,1
Хорошо все можно купить,1
"Маленький, не очень удобный",1
Свежие овощи,1
"Пакеты надо брать самим ,это неудобно и кассиры не ложат в пакеты сыплющиеся и которые могут открыться продукты",0
Хорошо 👍,1
"Ассортимент норм, рядом с домом... ценник адекватный... МИНУС кассиры как ленивец со зверополиса... Может просто пенсионеры... бывают не вкурсе проводимых акций",1
"Грязно, вечно поддоны стоят, с коляской не пройти, никто ""не ухаживает"" за овощным отделом.",0
"Автоматические двери вечно не работают,а обычные двери с другой стороны от пандуса и открываются в ту же сторону. С коляской или на коляске фиг проедешь.",0
Стандарт но,1
"Хорошая средних размеров Пятерочка, рядом остановка автобуса. Удобно после работы зайти",1
Нормальная обычная пятёрочка.,1
"Приличная Пятёрочка, чистенько, залежалых, гнилых овощей/фруктов не встречала, но не все товары можно найти, магазин небольшой. Приятные кассиры мальчишки.",1
"Обычный, магазин продуктовый не какова пФ",1
"Нормальная пятёрочка,  очень удобная.",1
Каждый день захожу,1
"Чистый магазин . Ценников половина нет, товар в упаковках стоит на полках , персонал хороший, отзывчивый , но нужно меняться , ценники должны быть !!!",0
Отличный большой магазин. Отличный большой выбор.,1
"Хорошо работает коллектив,всегда чисто и все вежливые,хороший магазин",1
Хороший магазин. Вежливые сотрудники.,1
"Хороший ремонт, оборудование. И вход в магазин удобный, в том числе для маломобильного населения ",1
Хороший магазин с улыбчивым персоналом,1
" Вежливый персонал, в магазине чисто. Ассортимент не большой, ещё не очень удобная расстановка витрин -проходы узкие",1
"Тесновато между рядами , пожалуй это единственный минус. Цены на продукты невысокие, выбор стандартный для данной сети. Есть парковочные места. ",1
Норм,1
"Обычная пятерочка, достаточно чисто, сотрудники вежливые. Ассортимент мог бы быть и побогаче, поэтому 4.",1
Всегда вежливый и приветливый персонал. Хороший ассортимент.,1
"Нормальная более менее пятёрочка. Приходишь, неправильные ценники понимаешь, отдашь персоналу переправить",1
"После ремонта стал хороший магазин, но не уверена, что соблюдаются стандарты по расстоянии между стеллажами. Очень тесно. Хорошие кассы самообслуживания.",0
Не самая лучшая пятерочка,0
"Хороший, но тесновато",1
"Хорошая 5ка, ценники конечно же бывают неправильные,но всегда пересчитают и вернут разницу, товары всегда свежие, фрукты овощи тоже,",1
"Удобная парковка, вежливые продавцы, скидки. Жаль с мясом всё плохо: какой-то дефицит.",1
Всегда ок!,1
Гуд,1
После ремонта стал супер удобный магазин 👍,1
"Обыкновенная Пятёрочка , как все , не лучше и не хуже , был там всего пару раз.",1
"Хороший магазинчик с большим выбором товаров, но дальний отдел узковат, приходится вставать в паровозик чтобы пройти, персонал бывает приятен, а бывает грубоват.",1
"Неуютно, не очень чисто, неприятно",0
"Хороший магазин, чистый и всегда с ассортиментом",1
"Невеликие очереди и прекрасный вид из окна.





",1
Отлично спасибо большое за поздравления очень приятно познакомиться меня зовут,1
Все хорошо,1
Чисто. Всегда есть скидки. Есть кассы самообслуживания.,1
"Хороший магазин, удобный, чистый, рядом с домом, отзывчивые сотрудники. ",1
"Офигенная пятёрочка, продавцы вежливые и приветливые!!!",1
Хороший магазин,1
"Чисто, после ремонта, большой выбор товаров, есть кассы самообслуживания, качество товара хорошее.",1
Нормальный выбор!все есть!просрочки не разу не попадалось!в отличии с семишагами!,1
Отличный ремонт и персонал ,1
Свежие фрукты скидки регулярные и по мимо продуктоа там есть и бытовые приборы по сниженым ценам,1
Хорошо ,1
"Очень мало мясных товаров.
Касса не самообслуживания только одна.Корзины для товара очень маленькие.Больших тележек нет.Баллы не списать по эл.кошельку в смартфоне.",0
"Обычная пятёрочка,  каких много по городу",1
"Лучший магазин, цены, товар, обслуживание... Супер! Спасибо ",1
чистый магазин,1
"Чисто , уютно , аккуратно все разложено , была сегодня в первый раз впечатление на отлично . Зайду еще , надеюсь не огорчусь .Всем советую",1
Отлично. Всегда доброжелательна покупатели. Чисто и уютно в магазине.,1
"В принципе всё что нужно там всегда есть, кассиры в большинстве все доброжелательны, в принципе всё устраивает, ни разу хамства или просрочки не было замечено :) 9 из 10",1
"Обычная пятёрочка, но есть хорошая мясная лавка",1
Великалепно,1
Всегда свежие продукты,1
Вечером всегда очередь,0
Вежливый персонал .. есть Сбербанк и можно приобрести кофе,1
"Очень хороший магазин, большой ассортимент, внимательные продавцы, удобное расположение.",1
"Народу мало, касс мало.
Вечером бывает аншлаг",1
"Расположение,очень бестолково  оформлен магазин",0
"Спасибо Администратору Светлане, за то, что всегда с позитивом и большим удовольствием помогает в выборе. Отличное обслуживание. Побольше бы таких сотрудников👍",1
Мая любимая пятёрочка,0
"Очень  много места, оригинально сделан второй этаж с разными  выходами, но мне показалось маловато представлено овощей и  фруктов.",1
Хороший магазин,1
"Выбор товара, персонал, кассы всё устраивает",1
"Хороший супермаркет, всегда большой выбор",1
"Маленький, а так самое оно",1
"Хороший ассортимент, качественный ремонт, чистота, часто проходят акции,но расположен магазин не очень удобно так как почти некуда припарковать машину",1
"Отвратительный магазин, с порога смотрят подозрительно, продавцы грубые и хамоватые, на просьбу помочь в выборе, ткнули в стену с возгласом «Там где-то стоит, ищите»",0
После реконструкции стал магазином достойного уровня.,1
Присутствует отсутствие ценников.Беспорядок в морозильных ларях.Товар лежит навалом.Очень часто работает 1-2 кассы.Собирается очередь более 7-9 человек.,1
"Большой магазин, днем посетителей не много, в очереди стоять не прийдется. Удобно, что есть такой магазин в центре гооода.",1
"Не скажу что замечательно, но уже который год этот магазин приближается к состоянию пятерки мечты. Все лучше и больше порядка...",1
"Отличное местоположение магазина и много разных магазинов, клубов, шиномонтаж , аптека и шаверма с разливным пивом и все в одном месте",1
Довольно вместительная парковка и пандус для инвалидов есть.Ассортимент и цены обычные.,1
"Хороший магазин, только не очень большой ассортимент продукции. Для магазина у дома не плох",1
"Тесновато, ассортимент невелик.",1
"Хороший супермаркет,  большой ассортимент товаров,  но в зале  тесно,  на кассе скапливается  очередь  и не удобно с тележкой пройти.",1
"Персонал приличный,товара много.кассы работают все всегда.",1
"""Классическая пятёрочка"". Внимательно смотрим на даты, так как очень большой процент просрочки. Русских сотрудников примерно 50%, чистота в магазине примерно такая же",1
Такой-же как и вся сеть не хуже и не лучше,1
Сетевой магазин шаговой доступности. С ценами и качеством продукции как и в других магазинах этой сети.,1
В этой Пятёрочке ценники соответствуют действительности...,1
"От остальных пятёрочек отличает отремонтированное в их стиле, просторное помещение, хороший выбор товара, всегда свежая своя выпечка. Есть парковка.",1
"Маленький, домашний магазинчик с товарами первой необходимости. Хорошо когда такие есть в шаговой доступности",1
"Обожаю эту пятерочку, все в наличии, все свежее, :)",1
"Чистенько, очередей обычно нет. Основные товары всегда есть",1
Помещение не очень.,1
Находится в шаговой доступности,1
"Удобный магазин у дома, если бы не узкие проходы и малый ассортимент - все было бы отлично",1
Не нравятся пятерочки. Есть много магазинов (малых) получше,0
"Выбор минимальный, но достаточный для закупок по дороге.",1
"Вышел из метро, дошёл до угла, закупился, сел на автобус - и домой!
Всё, что необходимо, можно купить в одном месте. Тесновато - да, но что делать?",1
"Иногда радуют ценами. Вкусная выпечка, обожаю Питерский хлеб, багет с чесноком! Всегда захожу именно за выпечкой.",1
Обыкновенная пятерочка,0
"Не получен обещанный кешбэк на конфеты. Рекламу запустили, а выполнять обещанное забыли. Возможно такой бардак во всех магазинах, но покупка была в этом магазине",0
"Продавцы хамят, захожу не часто, но всегда грязно.Ценники иногда не разобрать, а на некоторых товарах их вообще нет....",0
Свежие продукты хороший магазин    10/10,1
Хороший магазин. ,1
"Хороший чистый магазин,вежливые и отзывчивые сотрудники ",1
"Пятёрочка ,как Пятёрочка , мало персонала , работает одна касса , а так три кассы самообслуживания . ",1
"Все как и везде, но мне понравилось,  со чисто и установлены кассы самообслуживания 🛒📌",1
Качество в пятерочки) большой удобный магазин,1
Нет пандуса для колясок. Точнее он есть - но только для жильцов дома - находится на огороженной территории.,0
Хороший магазин! Прекрасные сотрудники. Есть свежая выпечка. 1 сентября был праздник для детей. Молодцы!,1
Обычная Пятёрочка.,1
Отличные сотрудники,1
"Отличная пятёрочка. Работает практически 24 часа. Удобные кассы самообслуживания. Всегда свежий товар, потому что большая проходимость.",1
👍👍👍супер,1
"Иногда давленные овощи и фрукты, иногда их просто нет, а новые со склада не приносят, но в целом норм пятерочка как и все",1
"как и все сетевые магазины пятерка не гнушается ни чем в погоне за прибылью.
хуже только магнит",0
"Всегда есть Тархун и Дюшес, это плюс",1
"Бываю в этом магазине по работе, персонал хороший, директор страдает психическим расстройством.
",0
Ценник по сравнению с магазинами рядом высокий.на  кассе надо контролировать.не рекомендую.перестал туда ходить,0
"Постоянная неразбериха на кассах,куда идти непонятно",0
"Хороший магазин шаговой доступности. Товаров много, расположение удачное. Ассортимент большой, но хочется побольше. Дисконт есть. Чисто, очередей нет. Персонал старается.",1
"Не очень приятные кассиры, небольшой ассортимент товаров, в очереди на кассе можешь провести пол жизни. 1 звезда, не больше
",0
"Слишком маленькая, ассортимент небольшой. Кассиры дежурят на кассе самообслуживания и прямо стоят над душой, не доверяя покупателям",0
Прекраснейший магазин,1
"Выбор большой,  Кассы самообслуживания хорошие и очереди маленькие",1
"Очереди по 9-11 человек в 11 утра, 2 кассы работают
",0
Классный магазин. Все есть. Но бывают несоответствия этикеток ценников и ценой на кассе,1
"Маленький магазиньчик у дома, очередей нет.",1
Трудно ориентироваться по залу,1
"двухэтажная пятёрочка, с лифтом, сделать бы лестничный подъём пошире и вообще идеально ",1
"Удобное расположение.Персоонал предупредительный ,вежливый.",1
"Товар на полках лежит горой. Ассортимента мало, почти нет выбора.  Ценников на товар не найти.",0
"Хороший магазин, главное рядом с домом.",1
"не люблю эту пятерочку.. 
вероятно, из за того, что она почти в центре, здесь почти всегда какая то неразбериха с продуктами на полках! 
грубые и неприветливые продавцы",0
Аккуратный и чистый магазин,1
"Хороший магазин, находится около нашего дома. Иногда бывают скидки, например: большая бутылка пепси, по цене маленькой. ",1
"Удобное расположение, неплохой ассортимент.",1
"Маленький ассортимент, часто несоответствие ценников, очень узкие проходы. Единственный плюс, что рядом с домом.",0
